City_ID,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
105,borova,23.47,30.1043,50.1763,5,2.94,69
106,el sauce,25.49,-86.539,12.8869,98,0.97,87
107,whakatane,15.49,176.9854,-37.9585,100,2.24,96
108,makoua,25.16,15.6333,0.0069,84,1.13,68
109,nizhneudinsk,26.91,99.0276,54.9076,77,1.98,50
110,nemuro,14.96,145.575,43.3236,100,7.24,99
111,voznesenskoye,16.56,42.7569,54.89,66,1.2,90
112,chonchi,3.95,-73.8092,-42.6128,98,0.67,91
113,la sarre,12.32,-79.1996,48.8002,5,2.25,71
114,iron river,13.64,-88.6423,46.0927,0,1.81,67
115,invercargill,10.57,168.35,-46.4,100,0.89,94
116,susuman,7.85,148.1667,62.7833,100,1.7,91
117,praia da vitoria,21.14,-27.0667,38.7333,40,5.2,83
118,bel ombre,25.91,55.4167,-4.6167,75,6.69,94
119,amga,23.04,131.9608,60.8953,100,5.09,36
120,tomohon,21.52,124.8392,1.3346,96,0.94,80
121,mugia,14.95,-9.2179,43.1041,13,3.94,93
122,riachao,25.54,-46.6172,-7.3619,14,1.84,43
123,hami,31.94,93.45,42.8,100,6.08,18
124,ellore,26.05,81.1,16.7,100,2.49,89
125,olinda,24.85,-34.8553,-8.0089,75,2.57,78
126,aykhal,13.64,111.5,66.0,100,2.47,77
127,goynuk,12.65,30.7883,40.4003,0,1.43,83
128,eilat,29.91,34.9482,29.5581,0,7.72,48
129,kapit,23.6,112.9333,2.0167,100,0.91,100
130,mili,27.87,171.735,6.0815,100,2.9,76
131,buon ma thuot,25.39,108.05,12.6667,18,1.32,81
132,olonkinbyen,4.49,-8.7187,70.9221,10,3.55,85
133,anadyr,10.56,177.4833,64.75,20,10.0,66
134,tazovsky,6.77,78.7,67.4667,100,6.33,97
135,selfoss,8.36,-20.9971,63.9331,100,6.11,87
136,la passe,14.13,-0.8967,45.5549,14,2.82,89
137,kapuskasing,18.0,-82.4331,49.4169,20,3.09,68
138,hithadhoo,28.52,73.0833,-0.6,29,4.95,76
139,murud,27.44,72.965,18.3258,100,6.98,87
140,georgetown,27.03,100.3354,5.4112,40,1.54,80
141,ghadamis,32.84,9.5007,30.1337,0,4.5,18
142,hengshui,25.46,115.7011,37.7322,100,1.0,63
143,el granada,19.66,-122.4694,37.5027,20,13.89,67
144,puerto yuca,23.82,-73.2083,2.9383,19,0.21,94
145,tsiombe,15.4,45.4833,-25.3,0,1.5,68
146,tieli,20.23,128.05,46.95,0,2.06,59
147,nantucket,21.13,-70.0995,41.2835,40,6.17,97
148,blackmans bay,7.48,147.3167,-43.0167,11,1.34,73
149,smithers,20.18,-127.1743,54.7804,75,4.63,42
150,tolanaro,15.04,46.9987,-25.0319,20,3.09,100
151,hawaiian paradise park,27.25,-154.9731,19.5933,100,5.66,72
152,qaqortoq,2.13,-46.0333,60.7167,9,2.52,84
153,rauma,14.02,21.5113,61.1272,100,5.51,96
154,iqaluit,4.83,-68.5145,63.7506,75,1.54,80
155,ribeira grande,20.99,-28.7,38.5167,0,8.05,86
156,charters towers,23.28,146.2667,-20.1,2,2.95,59
157,tura,23.86,90.2201,25.5198,100,1.91,99
158,vilyuchinsk,12.15,158.4028,52.9306,100,2.58,86
159,dangriga,27.73,-88.2321,16.9692,100,7.37,87
160,burdur,19.39,30.2908,37.7203,0,5.66,45
161,shambu,10.12,37.1,9.5667,92,0.66,96
162,tank,37.56,70.3793,32.2217,0,2.1,37
163,taro,23.0,115.28,-8.3862,100,1.97,85
164,apopa,25.15,-89.1792,13.8072,100,1.0,99
165,yuzhno-kurilsk,13.7,145.8556,44.0306,100,5.57,100
166,zouerate,32.36,-12.4521,22.7187,0,6.9,17
167,yaprakli,12.51,33.7782,40.7579,0,2.68,60
168,kruisfontein,13.32,24.7314,-34.0033,100,0.69,87
169,alofi,25.94,-169.9187,-19.0595,100,5.14,73
170,pacific grove,16.9,-121.9166,36.6177,40,4.12,74
171,codrington,10.88,141.9667,-38.2667,100,3.87,63
172,jayrud,19.7,36.7404,33.8074,0,0.82,61
173,al burayqah,25.28,19.5739,30.4062,0,5.07,76
174,kapa'a,26.32,-159.319,22.0752,20,5.14,70
175,saipan,32.39,145.701,15.1355,0,6.69,66
176,serhiyivka,22.07,30.3768,46.0272,0,3.87,52
177,prainha,24.84,-53.48,-1.8,100,1.24,86
178,beloyarskiy,10.45,66.6722,63.7119,100,3.74,75
179,antsiranana,22.78,49.2917,-12.2787,89,6.46,79
180,haiku-pauwela,27.04,-156.3051,20.9219,20,10.29,66
181,ketchikan,13.1,-131.6461,55.3422,100,5.14,94
182,sitka,12.94,-135.33,57.0531,100,3.09,88
183,kendari,24.29,122.4989,-3.945,100,0.91,97
184,bamboo flat,27.69,92.7167,11.7,100,4.41,81
185,iskushuban,29.76,50.23,10.2837,100,11.68,37
186,kailua-kona,27.25,-155.9956,19.6406,0,4.63,74
187,kristiansund,10.36,7.732,63.1115,100,4.63,93
188,punta arenas,0.06,-70.9167,-53.15,40,1.54,93
189,sisimiut,3.24,-53.6735,66.9395,100,2.4,98
190,cabo san lucas,33.16,-109.9124,22.8909,0,4.63,37
191,namibe,17.15,12.1522,-15.1961,0,4.68,78
192,cairo,26.42,31.2497,30.0626,0,3.6,83
193,kuqa,29.23,82.9364,41.7278,100,2.55,25
194,tobruk,24.24,23.9764,32.0836,0,3.8,73
195,udachny,13.89,112.4,66.4167,100,3.71,68
196,klyuchi,22.38,79.1667,52.2667,26,4.22,73
197,ndele,23.15,20.6473,8.4109,100,0.75,79
198,port mathurin,23.03,63.4167,-19.6833,12,9.0,69
199,willmar,20.95,-95.0433,45.1219,20,3.6,49
200,nar'yan-mar,4.42,53.087,67.6713,100,4.05,84
201,ellensburg,22.47,-120.5479,46.9965,0,12.35,46
202,dakhla,18.86,-15.958,23.6848,0,11.04,88
203,atafu village,28.39,-172.5159,-8.5421,100,9.55,79
204,lashio,21.41,97.75,22.9333,100,0.99,97
205,bidur,26.19,101.2833,4.1167,95,0.38,81
206,al faw,31.0,48.4741,29.9776,3,5.27,21
207,jagalur,22.77,76.35,14.5333,100,6.34,86
208,kurchatov,18.23,35.6521,51.6601,17,1.16,85
209,gagliano del capo,24.68,18.3695,39.8442,0,1.03,88
210,zaozersk,9.09,32.4476,69.4005,98,1.58,97
211,ust'-barguzin,22.59,108.9833,53.45,6,0.95,51
212,caromatan,26.31,123.7145,7.7959,100,1.0,88
213,motema,21.69,-11.0333,8.6,100,0.59,100
214,pahrump,38.37,-115.9839,36.2083,0,4.47,6
215,timmins,16.9,-81.3331,48.4669,20,2.06,59
216,gobo,25.57,135.15,33.8833,100,7.5,93
217,gemena,23.75,19.7667,3.25,100,0.62,63
218,ancud,7.03,-73.8203,-41.8697,100,1.14,78
219,kabo,21.6,18.629,7.6994,98,1.25,90
220,westport,21.97,-73.3579,41.1415,75,3.09,87
221,kirundo,13.9,30.1667,-2.5833,31,0.76,69
222,yangchun,31.44,111.7833,22.1667,69,3.84,71
223,mega,12.75,38.3,4.05,66,4.28,92
224,archidona,20.78,-4.3887,37.0965,0,1.95,79
225,basti,31.96,82.7167,26.8,53,1.43,61
226,mabaruma,24.04,-59.7833,8.2,75,0.34,94
227,razole,25.83,81.8333,16.4833,100,1.54,92
228,guymon,31.0,-101.4816,36.6828,0,6.17,58
229,obo,19.5,26.4869,5.3998,100,1.63,98
230,peschanokopskoye,19.37,41.0775,46.1961,0,3.5,41
231,puerto baquerizo moreno,21.41,-89.6,-0.9,59,4.03,87
232,thyolo,15.02,35.1405,-16.0678,78,0.7,82
233,aasiaat,0.85,-52.8699,68.7098,97,1.64,94
234,dogonbadan,26.05,50.7981,30.3586,6,0.0,29
235,axim,24.23,-2.2405,4.8699,100,2.81,92
236,tvoroyri,9.96,-6.8111,61.5556,100,6.41,95
237,puerto lempira,26.41,-83.7667,15.2667,87,2.89,88
238,touros,24.08,-35.4608,-5.1989,0,5.1,84
239,stropkov,21.94,21.6522,49.2021,99,1.11,95
240,kayangel,27.14,134.7173,8.0823,100,4.66,80
241,lincheng,31.45,109.6858,19.9078,99,4.29,64
242,buala,29.24,159.5921,-8.145,23,4.33,72
243,poyarkovo,23.78,128.6833,49.6,81,2.98,44
244,moose jaw,21.14,-105.5344,50.4001,100,7.2,60
245,iskateley,5.65,53.1512,67.6803,100,3.26,78
246,paita,18.62,-81.1144,-5.0892,6,4.51,84
247,lefka,21.16,32.8506,35.1106,0,2.04,46
248,shingu,27.27,135.9833,33.7333,100,6.11,86
249,boa vista,25.99,-60.6733,2.8197,40,2.06,83
250,acarau,25.44,-40.12,-2.8856,38,5.54,80
251,revelstoke,16.01,-118.2023,50.9832,100,2.57,88
252,nova vicosa,22.84,-39.3719,-17.8919,88,2.25,84
253,ixtapa-zihuatanejo,30.05,-101.55,17.6333,75,0.0,66
254,stanley,10.05,-1.6985,54.868,0,4.12,86
255,shar,25.49,81.0453,49.5886,100,3.43,47
256,galliano,29.0,-90.2992,29.4422,0,0.0,79
257,macomb,19.68,-90.6718,40.4592,0,2.57,62
258,la ronge,23.14,-105.2842,55.1001,40,4.12,28
259,keflavik,8.24,-22.5624,64.0049,100,6.69,93
260,ghormach,26.3,63.7826,35.7306,0,4.27,29
261,afaahiti,28.93,-149.2833,-17.75,40,10.1,80
262,colares,17.34,-9.4469,38.7992,3,8.05,91
263,petropavlovsk-kamchatsky,11.33,158.6483,53.0452,75,6.0,76
264,labytnangi,8.73,66.4183,66.6572,20,3.52,56
265,mercedes,7.36,-59.4307,-34.6515,6,4.41,56
266,hammerfest,11.25,23.6821,70.6634,75,2.06,82
267,segou,28.99,-6.2157,13.4317,96,2.65,62
268,cromer,11.47,1.2989,52.9312,96,3.81,83
269,san rafael del sur,26.54,-86.4384,11.8485,82,3.83,81
270,kabompo,10.86,24.2008,-13.5927,0,1.95,61
271,laguna,35.28,-121.4238,38.421,0,6.69,29
272,novo aripuana,25.27,-60.3797,-5.1206,11,1.04,72
273,east london,19.38,27.9116,-33.0153,58,3.82,84
274,altai,21.38,96.2583,46.3722,93,4.31,28
275,constantia,18.38,28.65,44.1833,0,2.55,77
276,valparaiso,15.0,-71.6273,-33.0393,7,4.17,62
277,inarajan village,28.71,144.7484,13.2736,25,5.53,93
278,egersund,12.83,5.9997,58.4513,67,4.26,85
279,nikolayevsk-on-amure,23.68,140.73,53.1406,2,1.43,39
280,hilo,28.44,-155.09,19.7297,100,5.66,66
281,tamandare,23.5,-35.1047,-8.7597,24,1.61,82
282,de aar,12.13,24.0123,-30.6497,86,3.23,47
283,manado,26.43,124.8455,1.487,40,2.57,89
284,protaras,26.1,34.0583,35.0125,0,0.45,59
285,rongelap,28.45,166.8941,11.1635,95,8.55,71
286,khandyga,19.9,135.6,62.6667,100,0.93,59
