,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
105,batie,24.99,-2.9167,9.8833,98,2.4,75
106,barcelos,18.1,-8.6151,41.5388,59,1.42,85
107,talnakh,13.28,88.3972,69.4865,100,3.37,81
108,lishui,28.32,119.9103,28.4604,100,1.8,90
109,yellowknife,18.01,-114.3525,62.456,75,8.75,62
110,ypsonas,24.5,32.9574,34.6884,0,1.03,83
111,ituango,16.86,-75.764,7.1712,96,0.57,98
112,kismayo,24.97,42.5454,-0.3582,78,7.37,82
113,araguaina,25.32,-48.2072,-7.1911,15,1.04,44
114,yaroslavskiy,12.52,132.2072,44.1683,100,5.63,95
115,iqaluit,1.5,-68.5145,63.7506,100,1.03,93
116,neiafu,27.38,-173.9833,-18.65,40,4.63,61
117,kolonia town,32.0,158.206,6.964,100,3.6,66
118,corinto,23.83,22.9573,37.9407,0,0.98,43
119,pisco,17.03,-76.2167,-13.7,100,4.12,88
120,thompson,25.09,-97.8558,55.7435,75,2.57,36
121,sinop,18.15,34.8709,41.7711,0,2.73,38
122,kuzovatovo,13.22,47.6866,53.5468,1,5.22,76
123,mossel bay,10.96,22.146,-34.1831,0,0.93,80
124,afaahiti,25.93,-149.2833,-17.75,43,7.1,72
125,ashburton,13.04,145.0794,-37.8626,98,3.58,61
126,mazamari,23.44,-74.5308,-11.3258,83,0.79,77
127,avarua,23.03,-159.775,-21.2078,40,2.57,53
128,detroit lakes,21.03,-95.8453,46.8172,0,1.54,68
129,la ronge,21.14,-105.2842,55.1001,75,2.57,49
130,weno,28.85,151.8468,7.4515,96,7.04,79
131,ribeira grande,21.54,-28.7,38.5167,13,3.58,97
132,laguna,33.05,-121.4238,38.421,0,4.12,30
133,linkou,13.07,130.2833,45.3,100,1.26,97
134,male,27.97,73.5089,4.1748,100,5.14,89
135,konarka,31.2,86.1167,19.9,79,6.13,70
136,howrah,31.0,88.3103,22.5892,40,2.57,84
137,naples,20.25,14.25,40.8333,0,1.54,77
138,shendi,32.39,33.4341,16.6915,94,7.01,41
139,buulobarde,22.98,45.5674,3.8538,97,6.6,85
140,kholmsk,8.63,142.0569,47.0511,100,5.76,93
141,waingapu,28.46,120.2641,-9.6567,78,5.64,58
142,whitehorse,18.49,-135.0538,60.7161,40,2.06,48
143,georgetown,26.97,100.3354,5.4112,20,3.09,65
144,peace river,14.17,-117.286,56.2501,100,4.63,88
145,lorengau,30.01,147.2712,-2.0226,72,3.63,69
146,menongue,8.42,17.691,-14.6585,0,1.65,68
147,ballina,20.43,153.5667,-28.8667,58,3.32,67
148,port alfred,19.32,26.891,-33.5906,0,2.68,48
149,ranot,29.56,100.3213,7.7777,100,5.35,66
150,callao,17.18,-77.15,-12.0667,100,2.06,77
151,vadso,10.09,29.7487,70.0744,40,2.57,81
152,hobyo,25.66,48.5268,5.3505,96,9.58,77
153,morant bay,29.79,-76.4093,17.8815,100,2.39,87
154,arhavi,20.95,41.3069,41.3492,2,0.41,72
155,fort st. john,16.94,-120.8529,56.2499,75,5.14,63
156,bubaque,26.21,-15.8333,11.2833,90,1.58,87
157,sitka,12.94,-135.33,57.0531,100,2.06,82
158,egersund,10.05,5.9997,58.4513,5,5.1,90
159,yaren,28.87,166.916,-0.5472,80,3.9,72
160,krasnokamensk,24.63,118.0369,50.0979,77,2.52,38
161,fort mcmurray,16.73,-111.381,56.7268,40,3.09,82
162,lycksele,8.93,18.6735,64.5954,45,1.03,87
163,berezovo,19.15,65.0419,63.9381,75,6.19,64
164,rundu,9.43,19.7667,-17.9333,0,2.85,64
165,sandnessjoen,10.29,12.6316,66.0217,100,9.66,85
166,verkhnevilyuysk,23.36,120.3167,63.4453,66,2.16,38
167,hammerfest,11.25,23.6821,70.6634,100,2.57,93
168,xique xique,23.55,-42.7311,-10.8217,20,6.12,59
169,hithadhoo,28.62,73.0833,-0.6,6,1.81,73
170,simplicio mendes,22.26,-41.9103,-7.8539,18,2.12,63
171,la passe,14.13,-0.8967,45.5549,0,2.89,89
172,lebu,6.77,-73.65,-37.6167,27,2.6,84
173,baikonur,24.64,63.3167,45.6167,62,5.82,34
174,buala,28.82,159.5921,-8.145,90,3.87,78
175,viqueque,26.66,126.3658,-8.8673,63,2.99,69
176,canutama,25.37,-64.3831,-6.5339,56,1.39,60
177,krasnyy yar,21.96,48.3456,46.5331,59,0.83,33
178,east london,18.77,27.9116,-33.0153,0,2.89,46
179,island harbour,13.53,-1.2758,50.724,4,1.98,64
180,kenai,15.03,-151.2583,60.5544,0,5.66,72
181,mantua,18.41,10.7833,45.1667,98,0.89,93
182,hafar al-batin,33.32,45.9708,28.4328,0,4.12,15
183,kargasok,24.22,80.8572,59.0556,64,3.33,66
184,chonchi,3.95,-73.8092,-42.6128,60,1.65,96
185,takoradi,24.59,-1.7554,4.8845,30,2.45,92
186,atafu village,28.05,-172.5159,-8.5421,94,8.76,79
187,isafjordur,6.27,-23.124,66.0755,49,3.44,82
188,sabang,28.81,95.3214,5.8933,100,4.81,69
189,ranau,22.99,116.6641,5.9538,99,0.07,86
190,morehead city,27.24,-76.726,34.7229,75,7.2,85
191,flying fish cove,26.82,105.6791,-10.4217,75,6.69,73
192,miyaly,18.07,53.7836,48.8844,4,9.28,58
193,mili,28.97,171.735,6.0815,32,6.62,75
194,nouadhibou,18.26,-17.0347,20.931,0,8.98,90
195,dhromolaxia,24.38,33.5868,34.8755,0,2.57,82
196,gambiran satu,23.73,114.1464,-8.3939,99,2.27,92
197,revda,15.96,59.9303,56.801,89,2.73,93
198,tolanaro,19.46,46.9987,-25.0319,88,4.35,82
199,aasiaat,2.19,-52.8699,68.7098,99,3.88,87
200,siwa oasis,28.13,25.5195,29.2041,0,2.05,27
201,agat village,31.68,144.6585,13.3886,40,9.77,74
202,aldinga beach,11.23,138.4604,-35.2793,97,10.64,78
203,fayroz koh,16.75,65.2509,34.5195,0,1.27,50
204,lamu,25.3,40.902,-2.2717,99,7.99,78
205,hadibu,27.53,54.0333,12.65,100,11.39,82
206,salalah,30.05,54.0924,17.0151,100,1.54,84
207,punta arenas,-9.94,-70.9167,-53.15,0,3.6,92
208,yuxi,19.88,102.5422,24.355,100,1.35,94
209,la mira,26.3,-102.3266,18.035,70,0.21,82
210,nagram,33.03,81.1333,26.6167,13,3.6,39
211,mana,25.09,-53.7767,5.6592,100,2.08,89
212,kapa'a,25.39,-159.319,22.0752,100,7.72,83
213,saint-philippe,17.77,55.7679,-21.3585,37,5.64,79
214,trujillo,16.98,-79.03,-8.116,20,4.12,88
215,holualoa,24.78,-155.9522,19.6228,100,3.6,86
216,freetown,26.01,-13.2299,8.484,98,1.86,85
217,el amria,20.9,-1.0158,35.5244,76,2.96,68
218,mahibadhoo,28.78,72.9667,3.7833,96,6.07,75
219,hexham,11.2,-2.104,54.9699,4,1.98,93
220,murzuq,27.88,13.9184,25.9155,0,3.43,20
221,kapuskasing,19.0,-82.4331,49.4169,75,3.09,72
222,korla,35.43,86.1469,41.7597,10,7.74,8
223,banda aceh,28.35,95.3222,5.5577,100,3.99,72
224,luena,10.62,19.9167,-11.7833,0,2.6,68
225,castillos,7.85,-53.8333,-34.1667,41,3.34,84
226,fortuna,14.38,-124.1573,40.5982,75,4.63,79
227,ivolginsk,22.81,107.2837,51.7492,20,2.0,60
228,carutapera,24.06,-46.02,-1.195,100,2.62,93
229,northam,15.16,-4.2167,51.0333,24,1.18,95
230,utrik,28.09,169.8474,11.2278,46,8.98,80
231,xiaoweizhai,22.64,107.5125,26.1903,100,1.24,95
232,lata,18.84,-8.3327,40.1629,51,0.89,83
233,tura,28.27,90.2201,25.5198,100,2.8,83
234,padang,31.03,100.3543,-0.9492,69,1.34,68
235,kapoeta,23.48,33.5903,4.7717,100,0.72,67
236,minas de marcona,12.02,-75.1103,-15.2119,46,5.58,89
237,lompoc,21.69,-120.4579,34.6391,0,3.09,65
238,sao jose da coroa grande,24.91,-35.1478,-8.8978,12,2.88,78
239,belmonte,23.61,-38.8828,-15.8631,42,2.62,83
240,cape canaveral,26.18,-80.6048,28.4058,75,3.09,85
241,hudiksvall,13.2,17.1036,61.729,100,4.02,60
242,ventspils,16.96,21.5606,57.3894,100,3.09,94
243,rongelap,28.32,166.8941,11.1635,60,9.11,79
244,dunedin,9.71,170.5036,-45.8742,100,4.63,96
245,oak bay,16.04,-123.3026,48.4496,40,7.2,60
246,christchurch,11.34,172.6333,-43.5333,100,0.51,89
247,okhotsk,11.96,143.3,59.3833,68,4.28,79
248,alghero,17.05,8.3181,40.5589,20,1.03,88
249,svetlyy,15.03,20.1347,54.675,100,5.89,87
250,bocas del toro,24.47,-82.25,9.3333,100,2.37,81
251,nogliki,10.44,143.1667,51.8333,3,7.26,75
252,qaqortoq,1.29,-46.0333,60.7167,100,1.83,96
253,divino das laranjeiras,19.82,-41.4797,-18.7778,3,1.47,83
254,vorkuta,15.8,64.0,67.5,100,2.03,58
255,barranca,16.94,-77.7667,-10.75,12,3.57,84
256,lethem,23.93,-59.7968,3.3803,67,0.79,90
257,lagoa,20.68,-27.9833,39.05,2,5.54,92
258,hawaiian paradise park,25.4,-154.9731,19.5933,100,4.63,80
259,vrede,4.82,29.1659,-27.4257,0,0.64,72
260,pijijiapan,25.59,-93.23,15.7011,97,1.15,93
261,ilha de mocambique,22.92,40.7358,-15.0342,0,6.78,76
262,geraldton,15.23,114.6,-28.7667,0,7.2,63
263,redencao,22.44,-38.7306,-4.2258,94,0.69,95
264,tazacorte,19.53,-17.9293,28.629,75,4.63,91
265,lubao,31.84,120.55,14.9167,77,2.15,67
266,knoxville,23.45,-83.9207,35.9606,100,2.57,93
267,el ocotito,22.46,-99.5667,17.25,92,0.39,94
268,ust-nera,24.66,143.2,64.5667,69,1.82,33
269,addis ababa,13.49,38.7469,9.025,75,2.06,94
270,puerto aysen,2.84,-72.7,-45.4,99,0.87,95
271,mournies,28.68,24.0092,35.4764,0,0.0,56
272,port shepstone,15.79,30.455,-30.7414,0,4.73,79
273,itoman,30.42,127.6694,26.1247,20,7.72,83
274,kabalo,21.97,26.9167,-6.05,57,3.05,51
275,tharangambadi,27.78,79.8528,11.0319,100,6.07,71
276,umm al quwain city,33.17,55.5552,25.5647,24,1.81,57
277,ljusdal,11.97,16.0913,61.8288,92,2.87,64
278,vylkove,20.16,29.586,45.4021,93,1.43,59
279,kardla,15.59,22.7492,58.9978,70,0.65,80
280,severo-yeniseyskiy,18.59,93.0408,60.3725,6,4.04,47
281,yangambi,20.72,24.4336,0.8102,89,1.2,95
282,gelnica,15.11,20.9371,48.8558,0,2.48,88
283,lihue,25.15,-159.3672,21.9789,100,7.72,79
284,cova figueira,20.19,-24.2934,14.8905,16,5.8,82
285,sur,32.82,59.5289,22.5667,100,0.65,56
286,mount gambier,13.59,140.7667,-37.8333,5,6.63,47
287,santana,28.1,-51.1817,-0.0583,0,3.09,89
288,salpazari,18.93,39.1956,40.9411,5,1.73,76
289,al jubayl,33.75,49.6583,27.0112,0,2.14,49
290,susuman,21.6,148.1667,62.7833,64,0.76,37
291,bocsa,19.5,21.7092,45.3733,100,1.28,95
292,franceville,22.83,13.5836,-1.6333,90,0.61,87
293,apolinario saravia,11.88,-63.9954,-24.4328,100,6.77,82
294,tindouf,26.25,-8.1474,27.6711,0,6.69,47
295,grabow,13.29,11.5667,53.2833,9,1.67,93
296,praia da vitoria,21.14,-27.0667,38.7333,40,2.66,94
297,sechura,18.92,-80.8222,-5.5569,0,6.36,79
298,bayanhongor,19.19,100.1167,46.7167,87,1.51,28
299,codrington,13.9,141.9667,-38.2667,74,9.58,48
300,cabo san lucas,24.31,-109.9124,22.8909,50,4.47,75
301,mugia,16.06,-9.2179,43.1041,99,8.36,95
302,eyl,26.88,49.8164,7.9803,100,11.35,62
303,tamanrasset,27.95,5.5228,22.785,6,2.57,21
304,yanacancha,3.08,-76.6456,-10.2411,6,0.26,91
305,blythe,43.25,-114.5964,33.6103,0,4.63,20
306,luis correia,25.74,-41.6669,-2.8792,96,5.98,81
307,vernon,20.49,-119.2691,50.2581,0,6.71,35
308,mongo,24.71,18.693,12.1844,100,6.1,75
309,bella vista,27.3,-94.2316,36.4295,0,3.09,84
310,onguday,24.05,86.15,50.75,100,0.97,54
311,finspang,11.04,15.7674,58.7058,46,1.73,97
312,saudarkrokur,6.28,-19.6394,65.7461,89,4.54,85
313,toliara,18.72,43.6667,-23.35,0,5.29,80
314,jizzax,28.68,67.8422,40.1158,99,3.24,22
315,upata,24.0,-62.3989,8.0086,100,1.18,96
316,kailua-kona,26.52,-155.9956,19.6406,100,3.6,85
317,polski trambesh,14.3,25.6497,43.3836,100,2.02,69
318,uturoa,25.08,-151.4333,-16.7333,10,7.93,68
319,six-fours-les-plages,17.1,5.84,43.0938,46,1.34,75
320,warmbad,15.12,18.7333,-28.45,0,4.88,29
321,acapulco de juarez,26.86,-99.8901,16.8634,71,1.91,83
322,antsiranana,22.05,49.2917,-12.2787,7,6.72,75
323,mahina,26.87,-149.489,-17.5065,40,9.26,61
324,lionel town,27.17,-77.2406,17.8101,100,2.02,89
325,tianpeng,25.26,103.9393,30.9866,100,1.39,55
326,maintirano,20.91,44.0167,-18.0667,1,2.54,75
327,nieuw amsterdam,24.09,-55.0833,5.8833,99,2.69,90
328,daru,25.88,143.2092,-9.0763,98,6.01,90
329,palmer,22.87,-72.3287,42.1584,75,4.12,77
330,hinton,14.01,-117.5857,53.4001,89,2.32,66
331,turriff,12.1,-2.4593,57.5384,29,3.17,92
332,labasa,26.44,179.3833,-16.4167,100,4.53,67
333,igrim,20.41,64.4162,63.1906,53,5.17,63
334,mirny,22.57,113.9611,62.5353,53,3.75,32
335,nantucket,21.19,-70.0995,41.2835,100,9.26,100
336,ngereklmadel,32.05,134.4856,7.4883,75,3.09,66
337,sao felix do xingu,24.02,-51.995,-6.6447,78,0.5,56
338,xilin hot,21.87,116.0333,43.9667,73,4.68,34
339,del rio,33.27,-100.8968,29.3627,0,5.14,45
340,piranshahr,19.91,45.1413,36.701,9,2.06,63
341,keflavik,6.24,-22.5624,64.0049,75,5.14,93
342,belyy yar,24.94,91.3903,53.6039,0,2.0,50
343,augusto correa,23.15,-46.635,-1.0217,100,1.17,96
344,ramadi,31.64,43.3058,33.4226,0,4.21,18
345,ndele,20.58,20.6473,8.4109,97,1.58,97
346,rio grande,13.3,-52.0986,-32.035,100,6.15,79
347,pimentel,18.16,-79.9342,-6.8367,75,8.23,82
348,dudinka,15.5,86.1778,69.4058,100,1.67,81
349,itacarambi,21.11,-44.0919,-15.1022,49,0.55,56
350,marsh harbour,27.57,-77.0636,26.5412,90,5.71,80
351,san antonio de pale,23.5,5.6325,-1.4014,100,5.57,87
