,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
465,charleston,27.67,-79.9309,32.7766,0,5.14,89
466,ariquemes,24.13,-63.0408,-9.9133,22,0.78,58
467,zhangjiakou,23.6,114.8794,40.81,1,4.45,30
468,santa vitoria do palmar,9.14,-53.3681,-33.5189,91,3.55,85
469,piura,20.87,-80.6333,-5.2,0,5.63,69
470,al lagowa,24.78,29.1333,11.4,99,4.08,66
471,nungwi,24.89,39.2987,-5.7265,34,6.21,75
472,katsuren-haebaru,32.89,127.8719,26.3369,0,7.72,68
473,piriapolis,12.2,-55.2744,-34.8682,75,7.2,68
474,kallupatti,29.98,77.8667,9.7167,100,4.13,56
475,celestun,25.61,-90.4,20.8667,100,4.03,90
476,urucara,24.91,-57.76,-2.5364,43,0.95,78
477,huancavelica,2.66,-74.9833,-12.7667,70,0.27,86
478,sretensk,27.86,117.7093,52.2453,21,2.66,34
479,ayr,10.09,-4.6339,55.4627,20,1.03,93
480,touros,23.95,-35.4608,-5.1989,49,4.12,90
481,shimoda,28.39,138.95,34.6667,96,10.25,74
482,ouallam,28.07,2.0866,14.3188,100,10.64,55
483,manta,24.88,-80.7333,-0.95,75,4.12,83
484,tarapur,27.03,72.7,19.85,100,4.11,86
485,tan-tan,20.3,-11.1032,28.438,89,5.15,81
486,tsiombe,19.52,45.4833,-25.3,5,6.03,77
487,new norfolk,12.18,147.0587,-42.7826,100,1.4,62
488,badger,26.71,-147.5333,64.8,0,2.57,22
489,igarka,22.2,86.5833,67.4667,55,7.18,49
490,zhanjiang,30.35,110.3427,21.2815,100,6.02,74
491,al mughraqah,24.88,34.4121,31.4659,0,2.03,80
492,soledade,16.53,-52.5103,-28.8183,100,1.3,99
493,brandon,25.17,-82.2859,27.9378,0,2.57,89
494,kachug,23.97,105.8817,53.9606,82,1.51,54
495,spring creek,32.83,-115.5859,40.7266,2,3.84,21
496,spring grove,19.34,-88.2365,42.4436,0,0.45,88
497,bu'aale,21.38,42.5833,1.0833,94,2.39,97
498,coihueco,2.41,-71.8333,-36.6167,100,0.51,100
499,alesund,11.7,6.1549,62.4723,55,4.12,69
500,san patricio,28.64,-97.5169,28.017,0,3.04,83
501,kearney,29.99,-99.0815,40.6995,0,5.66,48
502,miragoane,27.46,-73.0876,18.4423,100,2.18,79
503,san fernando,31.85,120.6898,15.0286,83,1.93,61
504,namibe,20.37,12.1522,-15.1961,1,2.55,63
505,kavaratti,27.31,72.642,10.5669,97,10.73,85
506,vila velha,22.97,-40.2925,-20.3297,75,2.06,83
507,crane,30.5,-102.3501,31.3974,0,5.08,28
508,amga,25.69,131.9608,60.8953,40,2.81,26
509,ponta delgada,21.4,-25.6667,37.7333,75,3.09,83
510,alice town,28.3,-79.3,25.7167,100,5.35,76
511,robore,23.93,-59.75,-18.3333,2,1.76,55
512,puerto quijarro,23.67,-57.7667,-17.7833,2,1.17,53
513,laramie,24.46,-105.5911,41.3114,20,4.63,21
514,le port,19.98,55.2919,-20.9373,15,3.33,75
515,koungou,25.84,45.2042,-12.7336,75,7.72,73
516,luderitz,16.9,15.1594,-26.6481,0,4.39,53
517,broken hill,14.13,141.4333,-31.95,65,9.5,41
518,kralendijk,28.99,-68.2667,12.15,75,6.17,79
519,suoyarvi,12.2,32.35,62.0833,98,1.7,74
520,zelenogorskiy,26.39,87.0,55.0333,74,1.91,58
521,pishva,27.14,51.7267,35.308,2,4.87,36
522,jodhpur,32.15,73.03,26.2867,100,7.13,51
523,dzhetygara,15.72,61.2006,52.1908,86,6.67,76
524,peterhead,11.22,-1.7981,57.5058,10,4.97,92
525,pangoa,21.88,-73.0,-12.1167,49,1.35,84
526,meizhou,32.39,116.1072,24.2977,100,2.25,62
527,basco,30.12,121.9702,20.4487,34,6.57,77
528,sarkand,30.33,79.9186,45.41,94,1.75,33
529,qusmuryn,20.44,64.6311,52.4503,7,7.63,60
530,ingeniero jacobacci,0.38,-69.5448,-41.3427,20,1.47,77
531,dzhambeyty,16.43,52.595,50.2536,6,9.7,66
532,gabu,24.86,-14.2167,12.2833,94,2.65,93
533,chernyshevskiy,22.47,112.4714,63.0128,79,2.45,33
534,leer,12.18,7.461,53.2316,0,1.2,95
535,bosobolo,21.53,19.9,4.1833,99,0.09,95
536,braunton,15.64,-4.1613,51.1085,21,1.24,95
537,paramonga,17.31,-77.8333,-10.6667,19,3.97,85
538,praia,23.3,-23.5087,14.9215,20,6.17,78
539,puerto ayacucho,24.15,-67.6236,5.6639,99,0.85,93
540,shchekino,13.71,37.5119,54.0092,99,3.25,87
541,nova sintra,19.92,-24.7167,14.8667,12,4.45,81
542,chaohu,27.28,117.8667,31.6,100,2.79,71
543,cuatro cienegas de carranza,28.62,-102.0833,26.9833,78,3.31,56
